,content,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,date
0,"Turkish people and the Turkish youth and and, and damage to fray the Turkish economy is no longer any possibility",,,,,,,,,2013-01-09 00:00:00+00:00
1,"The Turkish and Economy and in 2000-2010: “Not a Lost Decade, But Vulnerabilities Exist",,,,,,,,,2013-01-18 00:00:00+00:00
2,World Bank Predicts Turkish Economy To Grow 4% in 2013,,,,,,,,,2013-01-19 00:00:00+00:00
3,"Sorry, looks like the Turkish economy will only be “skidding”",,,,,,,,,2013-02-01 00:00:00+00:00
4,"The Turkish Economy: The Real Economy, Corporate Governance and Reform",,,,,,,,,2013-02-03 00:00:00+00:00
5,Recent growth in the Turkish economy gives boost to Initial Public Offerings and Mergers Acquisitions,,,,,,,,,2013-02-05 00:00:00+00:00
6,Turkey sweetens tax rules to increase auto export: (MENAFN) Turkish Economy Minister has announced,,,,,,,,,2013-02-16 00:00:00+00:00
7,Port of Mersin and Ankara has multiplier of 2.20: one extra lira output in the port leads to extra output elsewhere in Turkish economy of 1.20,,,,,,,,,2013-02-19 00:00:00+00:00
8,The Turkish economy has shown remarkable performance with its steady growth over the last eight years and.,,,,,,,,,2013-03-08 00:00:00+00:00
9,“Curious about how the Turkish economy has done in the last ten years?,,,,,,,,,2013-03-12 00:00:00+00:00
10,"Farewell rebalancing,welcome growth turkish ",,,,,,,,,2013-03-17 00:00:00+00:00
11,"SP's rating upgrade does justice to the Turkish economy, but still not enough: Turkey's economy minister ",,,,,,,,,2013-03-29 00:00:00+00:00
12,Istanbul. TUSIAD's conference on the Transatlantic Trade Investment Partnership (TTIP). Implications for the Turkish economy...,,,,,,,,,2013-05-07 00:00:00+00:00
13,Great article on the state of Turkish economy - Why Turkey is Thriving by Jeffrey D. Sachs ,,,,,,,,,2013-05-26 00:00:00+00:00
14,But but AKP was so good for the Turkish economy. What the hell happened?!,,,,,,,,,2013-05-31 00:00:00+00:00
15,"Great Turkey ! Germany, the Turkish economy grew scared !   ",,,,,,,,,2013-06-29 00:00:00+00:00
16,Gezi Park protests impact on Turkish economy:  Touristy Istanbul minus Taksim perfectly safe (escaped there post gas),,,,,,,,,2013-07-23 00:00:00+00:00
17,"Turkish Economy Minister Caglayan said that they will establish ""Turkey Commerce Centers""",,,,,,,,,2013-07-26 00:00:00+00:00
18,"Victory in elections,
Victory in Turkish economy,
Victory in sustainability,
So, correct word to define him: 'Victator' !",,,,,,,,,2013-07-28 00:00:00+00:00
19,"Imagine what damage it would be for Turkish economy if they lose Russian tourists and others. 3,5 million tourists per year.",,,,,,,,,2013-08-09 00:00:00+00:00
20,Highly recommended report by BCG -  Turkey Online: how the internet is transforming the Turkish Economy,,,,,,,,,2013-09-01 00:00:00+00:00
21,Finalist Turkish Economy Bank launched a suite of services to enhance the customer mobile experience. #bankinnovation ,,,,,,,,,2013-10-02 00:00:00+00:00
22,"The European Commission annual progress report praises the Turkish economy along with warnings, 4 October ",,,,,,,,,2013-10-16 00:00:00+00:00
23,Miracle or Mirage: transitions in Turkish economy.,,,,,,,,,2013-10-21 00:00:00+00:00
24,Tourism – fastest growing sector of Turkish economy,,,,,,,,,2013-10-28 00:00:00+00:00
25, #İzmir Economic Congress begins today with the theme “Turkish Economy in the light of the Global Economic Restructuring”. ,,,,,,,,,2013-10-31 00:00:00+00:00
26,SOFAZ to continue investing in Turkish economy ,,,,,,,,,2013-12-08 00:00:00+00:00
27,Turkish economy and turkish people grows 4.4% in Q4,,,,,,,,,2013-12-14 00:00:00+00:00
28,Public people wonder about why #Turkish #economy mimister made some speculator acts in past...,,,,,,,,,2014-02-09 00:00:00+00:00
29,for all updates on the #Turkish #economy and activities of #Dutch #entrepreneurs in Turkey ,,,,,,,,,2014-02-15 00:00:00+00:00
30,Assessing the state of the Turkish economy ,,,,,,,,,2014-02-16 00:00:00+00:00
31," Turkish Economy – Balance of Payments, 2011 Book ",,,,,,,,,2014-02-21 00:00:00+00:00
32,"a Consumers, entrepreneurs lose faith in Turkish economy’s future: The Turkish consumers’ confidence has decline",,,,,,,,,2014-02-22 00:00:00+00:00
33,A Turkish economy defaulting and nobody seems to care.! Yes,,,,,,,,,2014-03-09 00:00:00+00:00
34,"Thaks to RTE thats how“@cnni: Once hailed as a miracle, Turkish economy is now a mess: How did it get to this point? ",,,,,,,,,2014-03-30 00:00:00+00:00
35,"#Turkey’s current account deficit a narrowed in February, a recovery in the Achilles’ heel of the #Turkisheconomy.  ",,,,,,,,,2014-04-12 00:00:00+00:00
36,But natural growth of Turkish economy is 5.2 percent yearly that means even when there is nobody who is responsible of economy of Turkey,,,,,,,,,2014-04-26 00:00:00+00:00
37,Why Turks cant make long term plans : “Turkish economy still vulnerable to reversal of capital flow” ,,,,,,,,,2014-05-03 00:00:00+00:00
38,Dahsyat om.. RT @kangsodiq: Turkish Economy Growing : + 10%   New Economic Power ,,,,,,,,,2014-05-04 00:00:00+00:00
39,nice wrap up of structural issues of Turkish economy  - special thx for the green energy emphasis..,,,,,,,,,2014-05-08 00:00:00+00:00
40,"Inflation and unemployment rocketing up, markets falling apart, Lira coming tumbling down  Turkish economy had.",,,,,,,,,2014-05-18 00:00:00+00:00
