,Tarih,Şimdi,dolar,petrol
0,2021-01-04,451.417,"8,1137","61,45"
1,2021-03-31,453.452,"8,2439","59,16"
2,2021-03-30,451.408,"8,3312","60,55"
3,2021-03-29,454.985,"8,2091","61,56"
4,2021-03-28,452.096,,
5,2021-03-26,451.077,"8,1400","60,97"
6,2021-03-25,441.675,"7,9512","58,56"
7,2021-03-24,441.76800000000003,"7,9346","61,18"
8,2021-03-23,441.213,"7,9442","57,76"
9,2021-03-22,438.02,"7,8013","61,55"
10,2021-03-21,453.73699999999997,,
11,2021-03-19,404.981,"7,2190","61,42"
12,2021-03-18,408.676,"7,3260","60,00"
13,2021-03-17,421.584,"7,5037","64,60"
14,2021-03-16,417.166,"7,4957","64,80"
15,2021-03-15,419.227,"7,5366","65,39"
16,2021-03-14,419.64300000000003,,
17,2021-12-03,420.24699999999996,"7,5636","65,61"
18,2021-11-03,414.287,"7,4783","66,02"
19,2021-10-03,416.676,"7,5024","64,44"
20,2021-09-03,420.38300000000004,"7,6166","64,01"
21,2021-08-03,420.74199999999996,"7,7718","65,05"
22,2021-07-03,412.945,,
23,2021-05-03,411.865,"7,5388","66,09"
24,2021-04-03,410.148,"7,5039","63,83"
25,2021-03-03,410.334,"7,4615","61,28"
26,2021-02-03,410.31300000000005,"7,3522","59,75"
27,2021-01-03,403.75800000000004,"7,2909","60,64"
28,2021-02-28,415.06699999999995,,
29,2021-02-26,414.315,"7,4253","61,50"
30,2021-02-25,417.97,"7,3395","63,53"
31,2021-02-24,415.49800000000005,"7,1684","63,22"
32,2021-02-23,412.699,"7,1070","61,67"
33,2021-02-22,408.708,"7,0194","61,49"
34,2021-02-21,400.401,,
35,2021-02-19,399.32599999999996,"6,9637","59,24"
36,2021-02-18,397.25,"6,9678","60,52"
37,2021-02-17,398.704,"6,9737","61,14"
38,2021-02-16,401.76599999999996,"6,9913","60,05"
39,2021-02-15,407.156,"6,9634","60,09"
40,2021-02-14,411.88300000000004,,"60,37"
41,2021-12-02,413.019,"7,0369","59,47"
42,2021-11-02,412.841,"7,0255","58,24"
43,2021-10-02,417.975,"7,0618","58,68"
44,2021-09-02,417.16900000000004,"7,0649","58,36"
45,2021-08-02,416.778,"7,0713","57,97"
46,2021-07-02,412.75199999999995,,
47,2021-05-02,411.545,"7,0538","56,85"
48,2021-04-02,412.12,"7,1373","56,23"
49,2021-03-02,422.275,"7,1620","55,69"
50,2021-02-02,425.041,"7,1967","54,76"
51,2021-01-02,429.601,"7,1946","53,55"
52,2021-01-31,434.587,,
53,2021-01-29,434.835,"7,3149","52,20"
54,2021-01-28,435.73699999999997,"7,3406","52,34"
55,2021-01-27,437.591,"7,3968","52,85"
56,2021-01-26,437.588,"7,3479","52,61"
57,2021-01-25,442.199,"7,4090","52,77"
58,2021-01-24,443.023,,
59,2021-01-22,442.713,"7,4146","52,27"
60,2021-01-21,443.08099999999996,"7,3685","53,13"
61,2021-01-20,445.79699999999997,"7,4219","53,24"
62,2021-01-19,442.214,"7,4741","52,98"
63,2021-01-18,442.215,"7,4818","52,36"
64,2021-01-17,434.466,,"52,20"
65,2021-01-15,439.49199999999996,"7,4753","52,36"
66,2021-01-14,437.792,"7,3719","53,57"
67,2021-01-13,439.80800000000005,"7,4064","52,91"
68,2021-12-01,445.33,"7,4532","53,21"
69,2021-11-01,444.12199999999996,"7,4781","52,25"
70,2021-10-01,436.565,,
71,2021-08-01,438.559,"7,3762","52,24"
72,2021-07-01,451.96,"7,3198","50,83"
73,2021-06-01,452.108,"7,3067","50,63"
74,2021-05-01,463.415,"7,3906","49,93"
75,2021-04-01,463.778,"7,4248","47,62"
76,2021-03-01,458.086,,
77,2021-01-01,454.099,"7,4392",
78,2020-12-31,454.121,"7,4370","48,52"
79,2020-12-30,449.82599999999996,"7,3823","48,40"
80,2020-12-29,446.61199999999997,"7,3865","48,00"
81,2020-12-28,449.375,"7,4466","47,62"
82,2020-12-27,460.181,,
83,2020-12-25,456.089,"7,5575",
84,2020-12-24,457.399,"7,5797","48,23"
85,2020-12-23,460.38,"7,6411","48,12"
86,2020-12-22,459.176,"7,6620","47,02"
87,2020-12-21,462.209,"7,6541","47,74"
88,2020-12-20,464.079,,
89,2020-12-18,461.471,"7,6289","49,10"
90,2020-12-17,466.468,"7,7009","48,36"
91,2020-12-16,467.45599999999996,"7,7991","47,82"
92,2020-12-15,466.63300000000004,"7,8350","47,62"
93,2020-12-14,461.51199999999994,"7,8533","46,99"
94,2020-12-13,464.474,,
