"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"26.03.2021","64,57","62,01","64,89","61,85","147,74K","4,23%"
"25.03.2021","61,95","63,99","64,19","60,98","202,58K","-3,82%"
"24.03.2021","64,41","60,50","64,57","60,47","255,12K","5,95%"
"23.03.2021","60,79","64,30","64,30","60,27","392,60K","-5,93%"
"22.03.2021","64,62","64,53","65,12","63,45","236,34K","0,14%"
"19.03.2021","64,53","62,99","64,95","62,07","446,11K","1,98%"
"18.03.2021","63,28","67,77","68,15","61,45","516,08K","-6,94%"
"17.03.2021","68,00","68,39","68,89","66,96","309,76K","-0,57%"
"16.03.2021","68,39","68,81","68,94","67,36","248,99K","-0,71%"
"15.03.2021","68,88","69,08","70,03","67,82","262,60K","-0,49%"
"12.03.2021","69,22","69,59","69,90","69,03","251,54K","-0,59%"
"11.03.2021","69,63","68,45","69,84","67,99","289,61K","2,55%"
"10.03.2021","67,90","67,46","68,42","66,50","361,94K","0,56%"
"09.03.2021","67,52","68,13","69,33","67,12","302,61K","-1,06%"
"08.03.2021","68,24","69,97","71,38","67,80","352,59K","-1,61%"
"05.03.2021","69,36","67,16","69,69","66,67","361,76K","3,93%"
"04.03.2021","66,74","64,10","67,75","63,33","510,68K","4,17%"
"03.03.2021","64,07","62,38","64,70","62,38","341,67K","2,19%"
"02.03.2021","62,70","63,12","64,13","62,38","367,12K","-1,55%"
"01.03.2021","63,69","64,85","65,93","63,17","291,91K","-3,69%"
