,Unnamed: 0,Tarih,Şimdi
0,0,01.04.2021,451.417
1,1,31.03.2021,453.452
2,2,30.03.2021,451.408
3,3,29.03.2021,454.985
4,4,28.03.2021,452.096
5,5,26.03.2021,451.077
6,6,25.03.2021,441.675
7,7,24.03.2021,441.768
8,8,23.03.2021,441.213
9,9,22.03.2021,438.02
10,10,21.03.2021,453.737
11,11,19.03.2021,404.981
12,12,18.03.2021,408.676
13,13,17.03.2021,421.584
14,14,16.03.2021,417.166
15,15,15.03.2021,419.227
16,16,14.03.2021,419.643
17,17,12.03.2021,420.247
18,18,11.03.2021,414.287
19,19,10.03.2021,416.676
20,20,09.03.2021,420.383
21,21,08.03.2021,420.742
22,22,07.03.2021,412.945
23,23,05.03.2021,411.865
24,24,04.03.2021,410.148
25,25,03.03.2021,410.334
26,26,02.03.2021,410.313
27,27,01.03.2021,403.758
28,28,28.02.2021,415.067
29,29,26.02.2021,414.315
30,30,25.02.2021,417.97
31,31,24.02.2021,415.498
32,32,23.02.2021,412.699
33,33,22.02.2021,408.708
34,34,21.02.2021,400.401
35,35,19.02.2021,399.326
36,36,18.02.2021,397.25
37,37,17.02.2021,398.704
38,38,16.02.2021,401.766
39,39,15.02.2021,407.156
40,40,14.02.2021,411.883
41,41,12.02.2021,413.019
42,42,11.02.2021,412.841
43,43,10.02.2021,417.975
44,44,09.02.2021,417.169
45,45,08.02.2021,416.778
46,46,07.02.2021,412.752
47,47,05.02.2021,411.545
48,48,04.02.2021,412.12
49,49,03.02.2021,422.275
50,50,02.02.2021,425.041
51,51,01.02.2021,429.601
52,52,31.01.2021,434.587
53,53,29.01.2021,434.835
54,54,28.01.2021,435.737
55,55,27.01.2021,437.591
56,56,26.01.2021,437.588
57,57,25.01.2021,442.199
58,58,24.01.2021,443.023
59,59,22.01.2021,442.713
60,60,21.01.2021,443.081
61,61,20.01.2021,445.797
62,62,19.01.2021,442.214
63,63,18.01.2021,442.215
64,64,17.01.2021,434.466
65,65,15.01.2021,439.492
66,66,14.01.2021,437.792
67,67,13.01.2021,439.808
68,68,12.01.2021,445.33
