"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"01.04.2021","451,417","453,452","457,059","448,438","-0,45%"
"31.03.2021","453,452","451,410","455,335","446,779","0,45%"
"30.03.2021","451,408","454,987","460,192","446,741","-0,79%"
"29.03.2021","454,985","452,106","455,752","445,012","0,64%"
"28.03.2021","452,096","450,206","452,346","450,206","0,23%"
"26.03.2021","451,077","441,693","452,931","441,324","2,13%"
"25.03.2021","441,675","441,799","447,741","440,007","-0,02%"
"24.03.2021","441,768","441,208","447,112","436,520","0,13%"
"23.03.2021","441,213","438,021","443,789","430,652","0,73%"
"22.03.2021","438,020","453,646","456,885","428,417","-3,46%"
"21.03.2021","453,737","405,041","473,806","405,041","12,04%"
"19.03.2021","404,981","408,647","412,435","402,816","-0,90%"
"18.03.2021","408,676","421,636","422,854","406,030","-3,06%"
"17.03.2021","421,584","417,177","424,482","416,482","1,06%"
"16.03.2021","417,166","419,283","420,865","415,781","-0,49%"
"15.03.2021","419,227","419,656","422,251","417,069","-0,10%"
"14.03.2021","419,643","420,235","420,586","419,406","-0,14%"
"12.03.2021","420,247","414,292","420,387","412,911","1,44%"
"11.03.2021","414,287","416,653","418,721","413,558","-0,57%"
"10.03.2021","416,676","420,418","422,002","414,889","-0,88%"
"09.03.2021","420,383","420,746","422,723","416,504","-0,09%"
"08.03.2021","420,742","412,882","421,171","411,574","1,89%"
"07.03.2021","412,945","411,744","414,853","411,619","0,26%"
"05.03.2021","411,865","410,226","413,902","407,266","0,42%"
"04.03.2021","410,148","410,334","414,105","407,808","-0,05%"
"03.03.2021","410,334","410,309","414,478","405,252","0,01%"
"02.03.2021","410,313","403,814","412,139","400,579","1,62%"
"01.03.2021","403,758","415,080","416,927","403,088","-2,72%"
"28.02.2021","415,067","414,326","415,156","413,808","0,18%"
"26.02.2021","414,315","417,972","423,954","409,292","-0,87%"
"25.02.2021","417,970","415,472","423,855","411,237","0,59%"
"24.02.2021","415,498","412,714","417,612","411,328","0,68%"
"23.02.2021","412,699","408,702","413,256","407,603","0,98%"
"22.02.2021","408,708","400,486","411,409","399,005","2,07%"
"21.02.2021","400,401","400,249","401,755","400,134","0,27%"
"19.02.2021","399,326","397,271","400,500","395,007","0,52%"
"18.02.2021","397,250","398,672","401,302","396,697","-0,36%"
"17.02.2021","398,704","401,769","406,272","396,507","-0,76%"
"16.02.2021","401,766","407,151","408,763","401,462","-1,32%"
"15.02.2021","407,156","411,877","412,967","405,897","-1,15%"
"14.02.2021","411,883","412,626","413,026","411,696","-0,28%"
"12.02.2021","413,019","412,840","413,626","408,862","0,04%"
"11.02.2021","412,841","417,977","418,741","411,252","-1,23%"
"10.02.2021","417,975","417,184","420,348","416,050","0,19%"
"09.02.2021","417,169","416,812","422,503","416,633","0,09%"
"08.02.2021","416,778","412,724","419,822","410,225","0,98%"
"07.02.2021","412,752","411,744","412,931","411,726","0,29%"
"05.02.2021","411,545","412,075","413,058","407,327","-0,14%"
"04.02.2021","412,120","422,274","422,539","408,640","-2,40%"
"03.02.2021","422,275","425,018","426,927","420,578","-0,65%"
"02.02.2021","425,041","429,592","430,734","421,534","-1,06%"
"01.02.2021","429,601","434,531","436,798","427,801","-1,15%"
"31.01.2021","434,587","434,847","438,425","434,429","-0,06%"
"29.01.2021","434,835","435,745","440,202","433,520","-0,21%"
"28.01.2021","435,737","437,614","441,036","433,475","-0,42%"
"27.01.2021","437,591","437,587","439,675","435,628","0,00%"
"26.01.2021","437,588","442,201","443,944","436,691","-1,04%"
"25.01.2021","442,199","443,060","444,121","438,260","-0,19%"
"24.01.2021","443,023","442,256","443,684","441,964","0,07%"
"22.01.2021","442,713","443,081","445,205","437,545","-0,08%"
"21.01.2021","443,081","445,862","447,185","440,046","-0,61%"
"20.01.2021","445,797","442,155","446,699","438,878","0,81%"
"19.01.2021","442,214","442,155","443,523","438,632","-0,00%"
"18.01.2021","442,215","434,461","445,539","434,461","1,78%"
"17.01.2021","434,466","438,834","439,602","434,077","-1,14%"
"15.01.2021","439,492","437,760","444,513","437,397","0,39%"
"14.01.2021","437,792","439,659","441,535","435,684","-0,46%"
"13.01.2021","439,808","445,272","447,407","438,893","-1,24%"
"12.01.2021","445,330","444,121","449,824","442,422","0,27%"
"11.01.2021","444,122","436,575","445,954","431,117","1,73%"
"10.01.2021","436,565","438,559","439,344","435,876","-0,45%"
"08.01.2021","438,559","451,844","452,042","433,892","-2,97%"
"07.01.2021","451,960","451,847","455,201","445,233","-0,03%"
"06.01.2021","452,108","463,352","464,176","446,063","-2,44%"
"05.01.2021","463,415","463,778","466,185","460,755","-0,08%"
"04.01.2021","463,778","458,082","464,537","454,039","1,24%"
"03.01.2021","458,086","454,337","458,435","453,787","0,88%"
"01.01.2021","454,099","454,121","454,121","454,099","-0,00%"
"31.12.2020","454,121","449,850","456,359","446,283","0,95%"
