,Tarih,dolar,petrol,Faiz,ortalama,tufe,altın,tahmin
0,2021-04-01,8.1137,61.45,19.0,,16.75,451.4,8.1619
1,2021-03-31,8.2439,59.16,19.0,,16.29,453.0,8.1137
2,2021-03-30,8.3312,60.55,19.0,,16.29,452.03,8.2439
3,2021-03-29,8.2091,61.56,19.0,,16.29,454.09,8.3312
4,2021-03-26,8.14,60.97,19.0,0.033213754251700686,16.29,451.09,8.2091
5,2021-03-25,7.9512,58.56,19.0,0.0010038212815990614,16.29,441.53,8.14
6,2021-03-24,7.9346,61.18,19.0,0.06856884057971015,16.29,441.2,7.9512
7,2021-03-23,7.9442,57.76,19.0,0.06973386514918771,16.29,441.03,7.9346
8,2021-03-22,7.8013,61.55,19.0,0.0017165140993266007,16.29,436.86,7.9442
9,2021-03-19,7.219,61.42,19.0,0.03647435897435898,16.29,405.02,7.8013
10,2021-03-18,7.326,60.0,19.0,-0.06565608465608466,16.29,409.03,7.219
11,2021-03-17,7.5037,64.6,17.0,0.05653409090909092,16.29,420.93,7.326
12,2021-03-16,7.4957,64.8,17.0,0.04113636363636364,16.29,417.33,7.5037
13,2021-03-15,7.5366,65.39,17.0,0.08824098124098126,16.29,419.85,7.4957
14,2021-03-12,7.5636,65.61,17.0,0.03853041695146958,16.29,419.8,7.5366
15,2021-03-11,7.4783,66.02,17.0,0.020277777777777773,16.29,414.09,7.5636
16,2021-03-10,7.5024,64.44,17.0,0.11463785583103765,16.29,416.4,7.4783
17,2021-03-09,7.6166,64.01,17.0,0.095,16.29,420.17,7.5024
18,2021-03-08,7.7718,65.05,17.0,0.09788194444444444,16.29,420.46,7.6166
19,2021-03-05,7.5388,66.09,17.0,0.043315429426540535,16.29,412.01,7.7718
20,2021-03-04,7.5039,63.83,17.0,-0.03119331065759636,16.29,410.51,7.5388
21,2021-03-03,7.4615,61.28,17.0,0.07366755793226383,16.29,410.52,7.5039
22,2021-03-02,7.3522,59.75,17.0,0.015734239718614717,16.29,410.78,7.4615
23,2021-03-01,7.2909,60.64,17.0,0.10572530864197527,16.29,404.28,7.3522
24,2021-02-26,7.4253,61.5,17.0,-0.008824179292929309,15.61,414.2,7.2909
25,2021-02-25,7.3395,63.53,17.0,-0.10533950617283952,15.61,418.2,7.4253
26,2021-02-24,7.1684,63.22,17.0,-2.790178571428388e-05,15.61,416.24,7.3395
27,2021-02-23,7.107,61.67,17.0,0.25,15.61,412.56,7.1684
28,2021-02-22,7.0194,61.49,17.0,0.053712121212121225,15.61,408.43,7.107
29,2021-02-19,6.9637,59.24,17.0,0.0809375,15.61,399.24,7.0194
30,2021-02-18,6.9678,60.52,17.0,0.17332251082251085,15.61,398.28,6.9637
31,2021-02-17,6.9737,61.14,17.0,0.032271374458874465,15.61,398.36,6.9678
32,2021-02-16,6.9913,60.05,17.0,0.010590277777777771,15.61,403.21,6.9737
33,2021-02-15,6.9634,60.09,17.0,0.054230639730639726,15.61,407.16,6.9913
34,2021-02-12,7.0369,59.47,17.0,-0.04662962962962963,15.61,412.76,6.9634
35,2021-02-11,7.0255,58.24,17.0,0.08270833333333334,15.61,412.54,7.0369
36,2021-02-10,7.0618,58.68,17.0,0.10482407407407407,15.61,418.12,7.0255
37,2021-02-09,7.0649,58.36,17.0,0.17963744588744587,15.61,417.59,7.0618
38,2021-02-08,7.0713,57.97,17.0,0.09444444444444444,15.61,416.8,7.0649
39,2021-02-05,7.0538,56.85,17.0,0.11252319109461964,15.61,411.36,7.0713
40,2021-02-04,7.1373,56.23,17.0,0.0760204081632653,15.61,411.46,7.0538
41,2021-02-03,7.162,55.69,17.0,-0.009722222222222231,15.61,422.2,7.1373
42,2021-02-02,7.1967,54.76,17.0,-0.021540178571428568,15.61,425.18,7.162
43,2021-02-01,7.1946,53.55,17.0,0.0657807239057239,15.61,430.27,7.1967
44,2021-01-29,7.3149,52.2,17.0,-0.00017676767676767663,14.97,434.71,7.1946
45,2021-01-28,7.3406,52.34,17.0,0.0287878787878788,14.97,435.28,7.3149
46,2021-01-27,7.3968,52.85,17.0,0.0937878787878788,14.97,438.93,7.3406
47,2021-01-26,7.3479,52.61,17.0,0.04074074074074074,14.97,437.56,7.3968
48,2021-01-25,7.409,52.77,17.0,0.0,14.97,442.11,7.3479
49,2021-01-22,7.4146,52.27,17.0,0.1111904761904762,14.97,442.05,7.409
50,2021-01-21,7.3685,53.13,17.0,0.09581601731601733,14.97,443.12,7.4146
51,2021-01-20,7.4219,53.24,17.0,-0.055450336700336715,14.97,445.73,7.3685
52,2021-01-19,7.4741,52.98,17.0,-0.015786531986531988,14.97,442.52,7.4219
53,2021-01-18,7.4818,52.36,17.0,-0.0003086419753086424,14.97,441.89,7.4741
54,2021-01-15,7.4753,52.36,17.0,0.05709943181818183,14.97,438.47,7.4818
55,2021-01-14,7.3719,53.57,17.0,0.020556972789115637,14.97,437.63,7.4753
56,2021-01-13,7.4064,52.91,17.0,0.1715277777777778,14.97,439.03,7.3719
57,2021-01-12,7.4532,53.21,17.0,0.03854166666666666,14.97,444.47,7.4064
58,2021-01-11,7.4781,52.25,17.0,-0.06665497448979593,14.97,443.24,7.4532
59,2021-01-08,7.3762,52.24,17.0,0.03147321428571428,14.97,438.81,7.4781
60,2021-01-07,7.3198,50.83,17.0,0.11638462547553455,14.97,451.52,7.3762
61,2021-01-06,7.3067,50.63,17.0,0.0303814935064935,14.97,450.79,7.3198
62,2021-01-05,7.3906,49.93,17.0,0.0778030303030303,14.97,463.38,7.3067
63,2021-01-04,7.4248,47.62,17.0,-0.10762744200244202,14.97,464.05,7.3906
64,2021-01-01,7.4392,,17.0,0.08483008658008657,14.97,454.1,7.4248
65,2020-12-31,7.437,48.52,17.0,0.1419956140350877,14.6,454.07,7.4392
66,2020-12-30,7.3823,48.4,17.0,0.1979258241758242,14.6,449.59,7.437
67,2020-12-29,7.3865,48.0,17.0,0.10090248466810964,14.6,446.25,7.3823
68,2020-12-28,7.4466,47.62,17.0,0.2263688441470457,14.6,448.56,7.3865
69,2020-12-25,7.5575,,17.0,0.012239583333333337,14.6,453.56,7.4466
70,2020-12-24,7.5797,48.23,17.0,-0.008461538461538465,14.6,457.16,7.5575
71,2020-12-23,7.6411,48.12,15.0,0.08594065656565658,14.6,460.07,7.5797
72,2020-12-22,7.662,47.02,15.0,-0.01406746031746033,14.6,458.08,7.6411
73,2020-12-21,7.6541,47.74,15.0,0.03584243051634355,14.6,461.91,7.662
74,2020-12-18,7.6289,49.1,15.0,0.09098484848484847,14.6,461.3,7.6541
75,2020-12-17,7.7009,48.36,15.0,0.07115199615199612,14.6,466.91,7.6289
76,2020-12-16,7.7991,47.82,15.0,0.05415817842288431,14.6,467.62,7.7009
77,2020-12-15,7.835,47.62,15.0,0.032193053217358776,14.6,467.29,7.7991
78,2020-12-14,7.8533,46.99,15.0,0.05881032112010375,14.6,461.28,7.835
79,2020-12-11,7.8612,46.57,15.0,0.006424808429118779,14.6,464.92,7.8533
80,2020-12-10,7.8884,46.78,15.0,0.07748879551820728,14.6,465.66,7.8612
81,2020-12-09,7.8266,45.52,15.0,-0.0016520467836257321,14.6,462.74,7.8884
82,2020-12-08,7.8155,45.6,15.0,-0.09500541125541123,14.6,470.07,7.8266
83,2020-12-07,7.8009,45.76,15.0,0.1834554811507937,14.6,467.54,7.8155
84,2020-12-04,7.8031,46.26,15.0,0.12330246913580248,14.6,461.38,7.8009
85,2020-12-03,7.7752,45.64,15.0,0.021913029100529096,14.6,460.95,7.8031
86,2020-12-02,7.8522,45.28,15.0,0.032986111111111105,14.6,462.33,7.7752
87,2020-12-01,7.8288,44.55,15.0,0.03679832175925926,14.6,456.71,7.8522
88,2020-11-30,7.8324,45.34,15.0,0.10148698523698524,14.03,447.55,7.8288
89,2020-11-27,7.8352,45.53,15.0,0.20139467592592594,14.03,450.36,7.8324
90,2020-11-26,7.8711,44.98,15.0,0.13187144554791616,14.03,458.46,7.8352
91,2020-11-25,7.9317,45.71,15.0,0.1246272246272246,14.03,460.81,7.8711
92,2020-11-24,8.0022,44.91,15.0,0.09377805836139168,14.03,464.93,7.9317
93,2020-11-23,7.885,43.06,15.0,0.12879709493860445,14.03,465.9,8.0022
94,2020-11-20,7.6359,42.15,15.0,0.29062272025813696,14.03,459.67,7.885
