epoch,accuracy,loss,mae,mape,mse
0,0.0,4.719875903447246e-07,4.149171829223633,105.02781677246094,20.736051559448242
1,0.0,4.719875050795963e-07,4.149169445037842,105.02787017822266,20.736026763916016
2,0.0,4.719876756098529e-07,4.149167060852051,105.02782440185547,20.73606300354004
3,0.0,4.7198756192301516e-07,4.149167537689209,105.02777862548828,20.736064910888672
4,0.0,4.7198793140523776e-07,4.149168968200684,105.02781677246094,20.736051559448242
0,0.0,4.7198781771840004e-07,3.492310047149658,86.74620056152344,15.155091285705566
1,0.0,4.719878745618189e-07,3.4923088550567627,86.74615478515625,15.155089378356934
2,0.0,4.719881587789132e-07,3.4923043251037598,86.74626922607422,15.155084609985352
3,0.0,4.719876756098529e-07,3.492307662963867,86.74607849121094,15.155089378356934
4,0.0,4.7198781771840004e-07,3.49230694770813,86.74615478515625,15.15509033203125
5,0.0,4.7198790298352833e-07,3.4923086166381836,86.74613952636719,15.155076026916504
6,0.0,4.7198813035720377e-07,3.492306709289551,86.74608612060547,15.155083656311035
7,0.0,4.7198784614010947e-07,3.4923055171966553,86.74607849121094,15.155092239379883
8,0.0,4.7198801667036605e-07,3.4923088550567627,86.74618530273438,15.155088424682617
9,0.0,4.7198801667036605e-07,3.492307186126709,86.74608612060547,15.155098915100098
10,0.0,4.719877040315623e-07,3.492311477661133,86.74613189697266,15.15509033203125
11,0.0,4.7198753350130573e-07,3.492307424545288,86.74612426757812,15.155092239379883
12,0.0,4.7198810193549434e-07,3.4923081398010254,86.74620056152344,15.15507984161377
13,0.0,4.719877040315623e-07,3.492309808731079,86.7461166381836,15.155096054077148
14,0.0,4.7198801667036605e-07,3.492309331893921,86.74610900878906,15.155083656311035
15,0.0,4.7198784614010947e-07,3.492310047149658,86.74617767333984,15.15507984161377
16,0.0,4.719875050795963e-07,3.4923102855682373,86.74616241455078,15.15507984161377
17,0.0,4.7198790298352833e-07,3.4923081398010254,86.74617767333984,15.155086517333984
18,0.0,4.719880735137849e-07,3.4923088550567627,86.74613952636719,15.155086517333984
19,0.0,4.7198781771840004e-07,3.492307186126709,86.74620056152344,15.155086517333984
20,0.0,4.7198790298352833e-07,3.492309093475342,86.74615478515625,15.155072212219238
